path,artifact_type,created_or_updated_at,size_bytes,sha256,readability
artifacts/JM1_Foundation_Microsoft_Operating_Standard_v1.md,Markdown standard candidate,2026-08-13T02:16:48.785Z,3101,06195d236b4f3ceda140781991646082d6c9d3c5173ed02a33a380f26e15cf18,READABLE
artifacts/JM1_Power_Platform_Governance_Standard_v1_1_Addendum_approval.json,JSON governance approval evidence,2026-08-13T02:16:48.785Z,1716,4532d8882ef20c26d1e2b86c42aa5e64f32eee05a7d77d1d85cf1b55f4a92420,READABLE
artifacts/fnd01_bp12_admin_holds_carried_forward.json,JSON dependency register,2026-08-13T02:16:48.785Z,1622,3bbf99f6e8cac20a44772f2e9133149cedaa79de861a3c30db731afcb1f3faaf,READABLE
artifacts/fnd01_command_center_fit.json,JSON platform-fit analysis,2026-08-13T02:16:48.785Z,888,5de7b1292cc628f996c740ab227ed38fe466b1e7469237c02913baf28378f109,READABLE
artifacts/fnd01_communications_ownership.json,JSON ownership matrix,2026-08-13T02:16:48.785Z,2324,bc383de6aef97ebfa49be9a2e672d67541e8cec96ea231f8df835d9dacd98005,READABLE
artifacts/fnd01_current_state_inventory.json,JSON historical inventory,2026-08-13T02:16:48.785Z,3873,1d6f74d134f65173d5776b8ef1686950c688d316583fcd43e5919f4e696f1ae2,READABLE
artifacts/fnd01_customer_service_fit.json,JSON platform-fit analysis,2026-08-13T02:16:48.785Z,774,f6389093e7f63a3d871e950f43337665353c99c1a078dc2bb9c5ed123e339d60,READABLE
artifacts/fnd01_customer_voice_fit.json,JSON Customer Voice historical analysis,2026-08-13T02:16:48.785Z,813,fb932b966aaf6ed4a565d2a1949aeb72892c12f86f1c4081f308c54667162963,READABLE
artifacts/fnd01_donor_semantics.json,JSON Foundation business model,2026-08-13T02:16:48.785Z,1223,aa89910552621b0a826cceeaee23f0072b85e3de621deacc20b1d171832b7792,READABLE
artifacts/fnd01_event_model.json,JSON mixed business/platform model,2026-08-13T02:16:48.785Z,972,3be20615df1f35fc50849d86a9c7a32234b60b2f4d835bff4d9a39c9388ae360,READABLE
artifacts/fnd01_final_closeout.json,JSON historical closeout,2026-08-13T02:16:48.785Z,4223,504bf3ac64a49fbb8ce8280627169174faca5e73d543293d3daf0751a55457ee,READABLE
artifacts/fnd01_final_closeout.md,Markdown historical closeout,2026-08-13T02:16:48.785Z,3628,2f45caf08eaf3c758c57607baecac0ee2da3bc0ea2644ebe2bf17fd04b6bcbb8,READABLE
